VARIABLES = "X"
 "Y"
 "Z"
 "Density"
 "Shear Strain Rate"
 "Mach Number"
 "Pressure"
 "Total Pressure"
 "Temperature"
 "Total Temperature"
 "Bulk Energy Flow Rate"
 "X Bulk Momentum Flow Rate"
 "Y Bulk Momentum Flow Rate"
 "Z Bulk Momentum Flow Rate"
 "X Wall Shear"
 "Y Wall Shear"
 "Z Wall Shear"
 "Turbulence Eddy Dissipation"
 "U"
 "V"
 "W"
 "Dynamic Viscosity"
 "Eddy Viscosity"
 "X Vorticity"
 "Y Vorticity"
 "Z Vorticity"
 "Y Plus"
 "Solver Y Plus"
 "Node UserID"
 "Element UserID"
 "Material ID"
 "Part ID"
 "Property ID"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                  0.095                 -0.0005     0.00664824120603015        1.14571014653685        3079.67699178757       0.230515162698492       -3682.68083905444       -1.51082283160565        296.843264989766        300.000037575926                       0                       0                       0                       0                       0                       0                       0        503.943403257749        79.0433774333717                       0       -9.65557312327419   1.83100000867853E-005    0.000169995345680591                       0     -0.0164390949974945                       0                       0                       0         10962.499854919        564.748672654646                       1                       1                       1 
                  0.095                 -0.0005     0.00675376884422111        1.14571918478044         3083.3518836123       0.230480585437286       -3681.60167393876       -1.50179960818011        296.844196539338          300.0000376404                       0                       0                       0                       0                       0                       0                       0        503.918349544065        79.0122642171978                       0       -9.81095118077568   1.83100000867853E-005    0.000170041444144306                       0     -0.0222993301291035                       0                       0                       0        10962.4998452771        565.239466888634                       1                       1                       1 
                  0.095                 -0.0005     0.00685929648241206        1.14572832588711        3086.99914711535       0.230445580060706       -3680.51009423194       -1.49205779840244        296.845138539564        300.000037705603                       0                       0                       0                       0                       0                       0                       0        503.890463149978        78.9810322815266                       0       -9.96597154535342   1.83100000867853E-005    0.000170087090326714                       0     -0.0299105224705527                       0                       0                       0        10962.4998452771        565.732509796687                       1                       1                       1 
                  0.095                 -0.0005     0.00696482412060302         1.1457376895365        3090.73176345609       0.230409758408466       -3679.39314407807       -1.48533803449338        296.846104694079        300.000037770788                       0                       0                       0                       0                       0                       0                       0        503.862654385593        78.9491164740472                       0       -10.1211229204673   1.83100000867853E-005    0.000170133706825912                       0     -0.0362126266004029                       0                       0                       0        10962.4998452771        566.225483190402                       1                       1                       1 
                  0.095                 -0.0005     0.00707035175879397         1.1457475357472        3094.64945875706       0.230372166745357       -3678.22118068639       -1.48517127013526        296.847123224717         300.00003783593                       0                       0                       0                       0                       0                       0                       0         503.83501395333        78.9157177600049                       0       -10.2765583786236   1.83100000867853E-005    0.000170182427358523                       0     -0.0396761058927313                       0                       0                       0        10962.4998452771        566.718305849333                       1                       1                       1 
                  0.095                 -0.0005     0.00717587939698492        1.14575733421135        3098.57980296008       0.230334773883818       -3677.05492825987       -1.48462712488215        296.848137052189        300.000038393187                       0                       0                       0                       0                       0                       0                       0        503.808684654524        78.8823738319298                       0       -10.4321512281186   1.83100000867853E-005    0.000170231357547683                       0     -0.0437043999655033                       0                       0                       0        10962.4998356351        567.210158816935                       1                       1                       1 
                  0.095                 -0.0005     0.00728140703517588        1.14576719307074        3102.49414739769       0.230297129555513       -3675.88145195709       -1.48456033372477        296.849156828758        300.000038327962                       0                       0                       0                       0                       0                       0                       0         503.78069688546        78.8489606043515                       0       -10.5875449912028   1.83100000867853E-005    0.000170280022539467                       0     -0.0470182525086629                       0                       0                       0        10962.4998356351        567.703238360079                       1                       1                       1 
                  0.095                 -0.0005     0.00738693467336684        1.14577734305741        3106.52662132756        0.23025829109901        -3674.6712175002        -1.4853809375618        296.850208669916        300.000038262736                       0                       0                       0                       0                       0                       0                       0        503.752449123355        78.8145655059568                       0       -10.7431258545756   1.83100000867853E-005    0.000170329984257297                       0     -0.0464991494781116                       0                       0                       0        10962.4998356351        568.196318150365                       1                       1                       1 
                  0.095                 -0.0005     0.00749246231155779        1.14578786311779        3110.70925851407       0.230217934696602       -3673.41425699701       -1.48732957572552        296.851301270777         300.00003819751                       0                       0                       0                       0                       0                       0                       0        503.723870864599        78.7789222779329                       0       -10.8989445551568   1.83100000867853E-005     0.00017038159434085                       0     -0.0411076891690924                       0                       0                       0        10962.4998356351        568.689398254813                       1                       1                       1 
                  0.095                 -0.0005     0.00759798994974874        1.14579838635311        3114.89100833259       0.230177565704046       -3672.15693436892       -1.48927058742072         296.85239416484        300.000038132266                       0                       0                       0                       0                       0                       0                       0        503.695208389366        78.7432756013716                       0       -11.0547536314559   1.83100000867853E-005    0.000170433190917058                       0     -0.0357300632903386                       0                       0                       0        10962.4998259456        569.182536353799                       1                       1                       1 
                  0.095                 -0.0005      0.0077035175879397        1.14580892051284        3119.06970488109       0.230137153391096       -3670.89836573549       -1.49118535865945         296.85348806775        300.000038066957                       0                       0                       0                       0                       0                       0                       0        503.666256140682        78.7076170590248                       0       -11.2105295923635   1.83100000867853E-005    0.000170484741016973                       0     -0.0304000431575885                       0                       0                       0        10962.4998259456         569.67587400136                       1                       1                       1 
                  0.095                 -0.0005     0.00780904522613065        1.14581987129334        3123.41119581941       0.230095172739421       -3669.59062833582       -1.49451991170114        296.854625298947        300.000036892403                       0                       0                       0                       0                       0                       0                       0        503.637255488363        78.6706745713086                       0        -11.366559412159   1.83100000867853E-005    0.000170537992277634                       0     -0.0219131574110514                       0                       0                       0        10962.4998259456        570.169273680075                       1                       1                       1 
                  0.095                 -0.0005     0.00791457286432161        1.14583114457103        3127.87870239744       0.230051978070433       -3668.24483045053       -1.49895348733425         296.85579606964        300.000034859208                       0                       0                       0                       0                       0                       0                       0         503.60821736783        78.6327382090658                       0       -11.5227857386657   1.83100000867853E-005    0.000170592560370281                       0     -0.0109826098142669                       0                       0                       0        10962.4998259456        570.662721375773                       1                       1                       1 
                  0.095                 -0.0005     0.00802010050251256        1.14584247257623         3132.3291065285       0.230008530370223       -3666.89182336517       -1.50359551348848        296.856973666931        300.000033103454                       0                       0                       0                       0                       0                       0                       0         503.57748012646        78.5947329312819                       0       -11.6788265284575   1.83100000867853E-005    0.000170646854701917                       0   5.77773771271019E-005                       0                       0                       0        10962.4998163036        571.157244869784                       1                       1                       1 
                  0.095                 -0.0005     0.00812562814070352          1.145853758809        3136.79256461974       0.229965275803749        -3665.5443189199       -1.50807843329942        296.858146053614        300.000031135935                       0                       0                       0                       0                       0                       0                       0        503.548039790481          78.55678025537                       0       -11.8350089347611   1.83100000867853E-005    0.000170701357989928                       0      0.0110143262743924                       0                       0                       0        10962.4998163036        571.650947228181                       1                       1                       1 
                  0.095                 -0.0005     0.00823115577889447        1.14586557652236        3141.45097881331       0.229920006513796        -3664.1345470209       -1.50738058062409        296.859369624868        300.000030517578                       0                       0                       0                       0                       0                       0                       0        503.518514096956        78.5172146746524                       0       -11.9915053081286   1.83100000867853E-005    0.000170757909485302                       0      0.0153936850048695                       0                       0                       0        10962.4998163036        572.144574055622                       1                       1                       1 
                  0.095                 -0.0005     0.00833668341708543        1.14587763782712        3146.19874646962       0.229873813823563         -3662.696236325       -1.50430824489409        296.860616655344        300.000030517578                       0                       0                       0                       0                       0                       0                       0        503.488949281843        78.4769098576258                       0       -12.1481455807844   1.83100000867853E-005    0.000170815399727491                       0      0.0167585460634594                       0                       0                       0        10962.4998163036        572.638166265257                       1                       1                       1 
                  0.095                 -0.0005     0.00844221105527638        1.14588983251821         3150.9089670263       0.229827097889373       -3661.24304986279       -1.50041222782066        296.861875858964        300.000030517578                       0                       0                       0                       0                       0                       0                       0        503.455829157841        78.4364636263778                       0       -12.3044143760431   1.83100000867853E-005    0.000170872321244969                       0      0.0176213608260027                       0                       0                       0        10962.4998066616        573.133888112105                       1                       1                       1 
                  0.095                 -0.0005     0.00854773869346733        1.14590191003621        3155.65217079691       0.229780841598338       -3659.80293100331       -1.49723977283817        296.863124369098        300.000030517578                       0                       0                       0                       0                       0                       0                       0        503.425832191545        78.3961416203179                       0       -12.4610094952672   1.83100000867853E-005    0.000170929742358128                       0       0.018925197739509                       0                       0                       0        10962.4998066616        573.627739181174                       1                       1                       1 
                  0.095                 -0.0005     0.00865326633165829        1.14591462152561        3160.63734212118       0.229732098533322       -3658.28581753402       -1.49691006357485        296.864442876727        300.000030517578                       0                       0                       0                       0                       0                       0                       0        503.396259372079        78.3538616035885                       0       -12.6179886205247   1.83100000867853E-005     0.00017098963503806                       0      0.0243568737281609                       0                       0                       0        10962.4998066616        574.121767165517                       1                       1                       1 
                  0.095                 -0.0005     0.00875879396984925        1.14592751124647        3165.67244417523       0.229682649251318       -3656.74711635501        -1.4973436288792         296.86578098382        300.000030517578                       0                       0                       0                       0                       0                       0                       0        503.366039775087         78.311082342934                       0       -12.7749846291206   1.83100000867853E-005    0.000171050001389022                       0      0.0310726924951379                       0                       0                       0        10962.4998066616        574.616257224895                       1                       1                       1 
                  0.095                 -0.0005      0.0088643216080402        1.14594054597553        3170.66223385065       0.229632591684161        -3655.1911277304       -1.49822759802307        296.867134660464        300.000030517578                       0                       0                       0                       0                       0                       0                       0        503.331655979868        78.2681401593275                       0       -12.9315618444653   1.83100000867853E-005    0.000171109702723437                       0      0.0394205859912668                       0                       0                       0        10962.4997970197        575.113081502402                       1                       1                       1 
                  0.095                 -0.0005     0.00896984924623116         1.1459534257641        3175.70043956085       0.229583184066444       -3653.65361064916        -1.4986303130933        296.868471701126        300.000030517578                       0                       0                       0                       0                       0                       0                       0        503.301721608234        78.2253720580258                       0       -13.0885865381641   1.83100000867853E-005    0.000171170114624484                       0      0.0460246163787739                       0                       0                       0        10962.4997970197        575.607411680294                       1                       1                       1 
                  0.095                 -0.0005     0.00907537688442211        1.14596710003163        3181.02384191241       0.229530773336182       -3652.02344228581       -1.49949927447576        296.869888637003        300.000030517578                       0                       0                       0                       0                       0                       0                       0        503.271342674329        78.1802827199484                       0       -13.2460582593316   1.83100000867853E-005    0.000171233299657615                       0        0.04312875622348                       0                       0                       0        10962.4997970197        576.101538566481                       1                       1                       1 
                  0.095                 -0.0005     0.00918090452261306        1.14598096002387        3186.33208147476       0.229477609779696       -3650.37132079751       -1.49992192552677        296.871324299104        300.000030517578                       0                       0                       0                       0                       0                       0                       0        503.237374763013        78.1348710958569                       0        -13.403221536155   1.83100000867853E-005    0.000171296135996084                       0      0.0384835961652122                       0                       0                       0        10962.4997970197        576.597512948278                       1                       1                       1 
                  0.095                 -0.0005     0.00928643216080402        1.14599485246898        3191.63021273589       0.229424310047669       -3648.71533649315       -1.50021597555957        296.872763237839        300.000030517578                       0                       0                       0                       0                       0                       0                       0        503.202462075632        78.0894232406579                       0       -13.5602932778857   1.83100000867853E-005    0.000171358820534558                       0      0.0335757446451898                       0                       0                       0        10962.4997873777        577.093982879558                       1                       1                       1 
                  0.095                 -0.0005     0.00939195979899498        1.14600864551359        3196.98513239644       0.229371436434026       -3647.07108811659       -1.50078983023743        296.874192091604        300.000030517578                       0                       0                       0                       0                       0                       0                       0        503.171539805403        78.0440147783496                       0       -13.7177742903111   1.83100000867853E-005    0.000171422277558197                       0      0.0301449559374626                       0                       0                       0        10962.4997873777        577.588353669033                       1                       1                       1 
                  0.095                 -0.0005     0.00949748743718593        1.14602326851867        3202.64460976337       0.229315276948173       -3645.32596731553       -1.49558751267977        296.875703677002        300.000030517578                       0                       0                       0                       0                       0                       0                       0        503.140363699481        77.9961191963067                       0       -13.8757246637373   1.83100000867853E-005    0.000171488557015464                       0       0.034656404053576                       0                       0                       0        10962.4997873777        578.082724458509                       1                       1                       1 
                  0.095                 -0.0005     0.00960301507537688        1.14603812212602        3208.22561914964       0.229258153787651       -3643.55368654949       -1.48868948305986        296.877236907104        300.000030517578                       0                       0                       0                       0                       0                       0                       0        503.102462584223        77.9479697734643                       0       -14.0330450485429   1.83100000867853E-005    0.000171553760598472                       0      0.0396540365064062                       0                       0                       0        10962.4997777357        578.580397302248                       1                       1                       1 
                  0.095                 -0.0005     0.00970854271356784         1.1460528830874        3213.83815355965       0.229201417789726       -3641.79231747692       -1.48247271695662        296.878761441305        300.000030517578                       0                       0                       0                       0                       0                       0                       0        503.067263285428        77.8999223328223                       0       -14.1906185353951   1.83100000867853E-005    0.000171619396420996                       0      0.0444563420203174                       0                       0                       0        10962.4997777357        579.076743524102                       1                       1                       1 
                  0.095                 -0.0005      0.0098140703517588        1.14606767618316        3219.54356026049       0.229144606465707       -3640.02721036054       -1.47737886577968        296.880290225524        300.000030201887                       0                       0                       0                       0                       0                       0                       0        503.035407145052        77.8515762440119                       0       -14.3485993217319   1.83100000867853E-005    0.000171686055891776                       0      0.0498835109279435                       0                       0                       0        10962.4997777357        579.571392931464                       1                       1                       1 
                  0.095                 -0.0005     0.00991959798994975        1.14608326329049        3225.52150120993       0.229084785269587       -3638.16882995096        -1.4735524690659        296.881899987605         300.00002823572                       0                       0                       0                       0                       0                       0                       0        503.002773315166        77.8009796889079                       0       -14.5069993142264   1.83100000867853E-005    0.000171755146491131                       0      0.0598973823688565                       0                       0                       0        10962.4997777357        580.066135147342                       1                       1                       1 
                  0.095                 -0.0005      0.0100251256281407        1.14609917270393         3231.3811054314       0.229023511392854       -3636.26956755027       -1.47369521440818        296.883546364782        300.000025084264                       0                       0                       0                       0                       0                       0                       0        502.959855390708         77.750005543045                       0       -14.6644651808157   1.83100000867853E-005      0.0001718225836478                       0      0.0711619501576722                       0                       0                       0        10962.4997680937        580.565544670276                       1                       1                       1 
                  0.095                 -0.0005      0.0101306532663317         1.1461148689285        3237.31898329681       0.228963198389442       -3634.39734647871       -1.47121257687677        296.885168522961        300.000022716816                       0                       0                       0                       0                       0                       0                       0        502.923739864536        77.6992811539993                       0       -14.8225489235254   1.83100000867853E-005     0.00017189111447155                       0      0.0815992466758517                       0                       0                       0        10962.4997680937        581.061867010251                       1                       1                       1 
                  0.095                 -0.0005      0.0102361809045226        1.14613074503762        3243.38251926144       0.228902233339075       -3632.50415095969       -1.46774438610162        296.886809597069        300.000021769923                       0                       0                       0                       0                       0                       0                       0        502.890284402573        77.6478913852474                       0       -14.9810344666621   1.83100000867853E-005    0.000171960896549255                       0      0.0895289493999276                       0                       0                       0        10962.4997680937        581.556867007883                       1                       1                       1 
                  0.095                 -0.0005      0.0103417085427136        1.14614733285187        3249.68785222242       0.228838477069082       -3630.52551665276       -1.46464059790055        296.888527535391        300.000023669904                       0                       0                       0                       0                       0                       0                       0        502.856164223355        77.5944746853685                       0        -15.139880008729   1.83100000867853E-005    0.000172032733137794                       0       0.091807603081919                       0                       0                       0        10962.4997680937        582.051866597986                       1                       1                       1 
                  0.095                 -0.0005      0.0104472361809045        1.14616438640453        3255.81953031353       0.228772714674187       -3628.49084762138       -1.46233936182529        296.890295986171         300.00002710836                       0                       0                       0                       0                       0                       0                       0        502.807773087198        77.5405430408987                       0       -15.2974645137662   1.83100000867853E-005    0.000172102280278887                       0      0.0920881795077918                       0                       0                       0        10962.4997584517        582.553114800727                       1                       1                       1 
                  0.095                 -0.0005      0.0105527638190955        1.14618106808869        3262.08986300891       0.228708554068256       -3626.50091947484        -1.4593973285908        296.892024105316        300.000029318421                       0                       0                       0                       0                       0                       0                       0        502.770776586195        77.4870225535619                       0       -15.4560558928997   1.83100000867853E-005    0.000172173655427622                       0      0.0939641191880891                       0                       0                       0        10962.4997584517        583.049373803267                       1                       1                       1 
                  0.095                 -0.0005      0.0106582914572864        1.14619807686479        3268.52171019061        0.22864313217819       -3624.47120909229       -1.45730860902262        296.893786343102        300.000030517578                       0                       0                       0                       0                       0                       0                       0        502.735724623213        77.4324528051145                       0        -15.615040617779   1.83100000867853E-005    0.000172246513101918                       0      0.0965515947156712                       0                       0                       0        10962.4997584517        583.544639658787                       1                       1                       1 
                  0.095                 -0.0005      0.0107638190954774        1.14621571333675        3275.16309783887       0.228575237565688       -3622.36530762355       -1.45675480975745         296.89561453578        300.000030517578                       0                       0                       0                       0                       0                       0                       0        502.700165392247        77.3761130621742                       0       -15.7743271534873   1.83100000867853E-005    0.000172321121115457                       0      0.0997554390537529                       0                       0                       0        10962.4997584517        584.039905857807                       1                       1                       1 
                  0.095                 -0.0005      0.0108693467336683        1.14623398977662        3281.57175146912       0.228504757693444       -3620.18724606829       -1.45181676473338        296.897502199981        300.000030517578                       0                       0                       0                       0                       0                       0                       0        502.645924966318        77.3191181665819                       0          -15.9320016542   1.83100000867853E-005      0.0001723927366072                       0       0.102912261987444                       0                       0                       0        10962.4997488097         584.54264679341                       1                       1                       1 
                  0.095                 -0.0005      0.0109748743718593        1.14625170153392        3288.18576046189       0.228436558952924       -3618.07285574106       -1.45074720606161        296.899337388843        300.000030517578                       0                       0                       0                       0                       0                       0                       0         502.60816809358        77.2627013519746                       0       -16.0910985513198   1.83100000867853E-005    0.000172466992582719                       0       0.106110574798738                       0                       0                       0        10962.4997488097        585.038792314839                       1                       1                       1 
                  0.095                 -0.0005      0.0110804020100502        1.14626993435991         3294.9949274897       0.228366389338266       -3615.89772053094       -1.44827173257819        296.901223869644        300.000029530053                       0                       0                       0                       0                       0                       0                       0        502.571161588889        77.2048163989724                       0        -16.250571656191   1.83100000867853E-005    0.000172542892079827                       0       0.108706432656349                       0                       0                       0        10962.4997488097        585.534262075474                       1                       1                       1 
                  0.095                 -0.0005      0.0111859296482412        1.14628882356467        3301.94278170848       0.228293674304552       -3613.64594672392       -1.44363715556067        296.903175081107        300.000027832573                       0                       0                       0                       0                       0                       0                       0        502.530573434907        77.1453289041667                       0       -16.4100497675433   1.83100000867853E-005    0.000172619725380691                       0       0.110737287901709                       0                       0                       0        10962.4997488097        586.030738971659                       1                       1                       1 
                  0.095                 -0.0005      0.0112914572864322        1.14630828198348        3308.66159447437       0.228218487786975       -3611.32574212792       -1.43636776379569        296.905184968333        300.000027866854                       0                       0                       0                       0                       0                       0                       0        502.471932108122        77.0852246895125                       0       -16.5680071708518   1.83100000867853E-005    0.000172693663515378                       0       0.112996350503479                       0                       0                       0        10962.4997391678        586.534088659026                       1                       1                       1 
                  0.095                 -0.0005      0.0113969849246231        1.14632712903672        3315.62640970643       0.228145955771968       -3609.07903576831       -1.43192830047527         296.90713183473        300.000026041133                       0                       0                       0                       0                       0                       0                       0        502.432680830497        77.0257828641409                       0       -16.7275978939124   1.83100000867853E-005    0.000172770711209537                       0       0.115010306481204                       0                       0                       0        10962.4997391678        587.030056610211                       1                       1                       1 
                  0.095                 -0.0005      0.0115025125628141        1.14634668225065         3322.8224271844       0.228070685635237       -3606.74840609866       -1.42790865833863        296.909153407529        300.000026554327                       0                       0                       0                       0                       0                       0                       0        502.392430046028        76.9644278927457                       0       -16.8875419036663   1.83100000867853E-005     0.00017284948127828                       0       0.111394846812043                       0                       0                       0        10962.4997391678        587.525734438977                       1                       1                       1 
                  0.095                 -0.0005       0.011608040201005        1.14636690412063        3330.06412586359       0.227992698250849        -3604.3374770821       -1.42676787957924        296.911246826974        300.000027966405                       0                       0                       0                       0                       0                       0                       0        502.344189420176         76.901625517924                       0       -17.0470991812997   1.83100000867853E-005    0.000172928154318349                       0       0.104840374301523                       0                       0                       0        10962.4997391678        588.023874372486                       1                       1                       1 
                  0.095                 -0.0005       0.011713567839196        1.14638758857198        3337.09859399083       0.227912657337555       -3601.86977633771       -1.43156296232197        296.913391724256        300.000028010278                       0                       0                       0                       0                       0                       0                       0        502.280732248108        76.8383207518005                       0       -17.2053990427966   1.83100000867853E-005    0.000173004386318094                       0      0.0996063155436494                       0                       0                       0        10962.4997295258        588.527458697186                       1                       1                       1 
                  0.095                 -0.0005      0.0118190954773869        1.14640762368521        3344.42395731147       0.227835499018946       -3599.48176762026       -1.42802571386565        296.915464360692        300.000029974738                       0                       0                       0                       0                       0                       0                       0        502.238634958103        76.7757212060866                       0        -17.365463973712   1.83100000867853E-005      0.0001730840448729                       0      0.0925187556447993                       0                       0                       0        10962.4997295258        589.023400581079                       1                       1                       1 
                  0.095                 -0.0005      0.0119246231155779         1.1464285546713         3352.0136592534       0.227754740107729       -3596.98421496794       -1.42521632975604        296.917629589714        300.000027674347                       0                       0                       0                       0                       0                       0                       0        502.193845210309        76.7107260808789                       0       -17.5258483214715   1.83100000867853E-005    0.000173165467720129                       0       0.103011010635637                       0                       0                       0        10962.4997295258        589.519503639911                       1                       1                       1 
                  0.095                 -0.0005      0.0120301507537688        1.14645017105785        3359.54358769343       0.227671078363051       -3594.40285665345       -1.42293778729353        296.919867273998        300.000023755467                       0                       0                       0                       0                       0                       0                       0        502.136566475462        76.6444500427474                       0       -17.6854226989531   1.83100000867853E-005    0.000173245722757497                       0       0.120979421247709                       0                       0                       0        10962.4997295258        590.019523763199                       1                       1                       1 
                  0.095                 -0.0005      0.0121356783919598        1.14647212073718        3366.91749754215       0.227585933261777       -3591.78074699474       -1.42090477133961        296.922140974418         300.00001984632                       0                       0                       0                       0                       0                       0                       0        502.068161430428        76.5778185234896                       0        -17.844092343814   1.83100000867853E-005    0.000173324190055159                       0       0.139688922679032                       0                       0                       0        10962.4997198838        590.523286854347                       1                       1                       1 
                  0.095                 -0.0005      0.0122412060301508        1.14649341741902        3374.59708382307       0.227503694398469       -3589.23847862568       -1.41839071228237        296.924344110913        300.000015918103                       0                       0                       0                       0                       0                       0                       0         502.02155539524        76.5118834738113                       0       -18.0045345687114   1.83100000867853E-005    0.000173406159947554                       0       0.156946457307274                       0                       0                       0        10962.4997198838        591.019716607497                       1                       1                       1 
                  0.095                 -0.0005      0.0123467336683417         1.1465158676387        3382.57541640087       0.227417068556033       -3586.56150402312       -1.41713190787363        296.926664713249        300.000013624329                       0                       0                       0                       0                       0                       0                       0        501.970840795629        76.4430866153053                       0       -18.1653215636177   1.83100000867853E-005    0.000173490032727944                       0       0.180529256274991                       0                       0                       0        10962.4997198838        591.515961317911                       1                       1                       1 
                  0.095                 -0.0005      0.0124522613065327        1.14653904839058        3390.37452269276        0.22732738768257       -3583.79799839737       -1.41680018797157        296.929058969338        300.000010357619                       0                       0                       0                       0                       0                       0                       0         501.90273368752        76.3732049212793                       0       -18.3248501322723   1.83100000867853E-005    0.000173571625366441                       0       0.204118564770391                       0                       0                       0        10962.4997198838        592.017412658375                       1                       1                       1 
                  0.095                 -0.0005      0.0125577889447236        1.14656242476469        3398.07953273055       0.227236854097597       -3581.01116854626        -1.4167332577363        296.931472856233        300.000006579099                       0                       0                       0                       0                       0                       0                       0        501.828118366714        76.3031237712947                       0       -18.4838569214532   1.83100000867853E-005    0.000173652171297496                       0        0.22720916255108                       0                       0                       0        10962.4997102418        592.520924436158                       1                       1                       1 
                  0.095                 -0.0005      0.0126633165829146         1.1465851328644        3406.10598945958       0.227149233501006       -3578.30401769175       -1.41576176601822        296.933819681399        300.000004548999                       0                       0                       0                       0                       0                       0                       0        501.775736061139        76.2337239923049                       0       -18.6446461863331   1.83100000867853E-005    0.000173736292935662                       0        0.25200342908385                       0                       0                       0        10962.4997102418        593.017397455928                       1                       1                       1 
                  0.095                 -0.0005      0.0127688442211055        1.14660919669213         3414.4817661332       0.227056228869735       -3575.43390904925       -1.40534632524824        296.936306810188        300.000008052451                       0                       0                       0                       0                       0                       0                       0        501.718223567064        76.1609164512025                       0       -18.8057737187586   1.83100000867853E-005    0.000173822432708935                       0         0.2567366235546                       0                       0                       0        10962.4997102418         593.51397447584                       1                       1                       1 
                  0.095                 -0.0005      0.0128743718592965        1.14663400856115        3422.54426828909       0.226960010885779        -3572.4755804193       -1.39098618599915        296.938868675651        300.000011894282                       0                       0                       0                       0                       0                       0                       0        501.638189188233        76.0872358919882                       0       -18.9651594341231   1.83100000867853E-005    0.000173905128806848                       0       0.261603913246648                       0                       0                       0        10962.4997102418        594.017090053503                       1                       1                       1 
                  0.095                 -0.0005      0.0129798994974874        1.14665885985701        3430.58671929824       0.226863621839202       -3569.51261384949       -1.37642699014783        296.941434461512        300.000015734959                       0                       0                       0                       0                       0                       0                       0        501.556830018395        76.0135163643528                       0       -19.1244398548385   1.83100000867853E-005    0.000173987611523232                       0       0.266556632761566                       0                       0                       0        10962.4997005998        594.520595591608                       1                       1                       1 
                  0.095                 -0.0005      0.0130854271356784        1.14668310823425        3438.98729013098       0.226769877438057       -3566.62044283866       -1.36574193174979        296.943940540178        300.000019153598                       0                       0                       0                       0                       0                       0                       0        501.497740666615        75.9402912945293                       0       -19.2855322437215   1.83100000867853E-005    0.000174073822518101                       0       0.270433775450486                       0                       0                       0        10962.4997005998        595.017437025762                       1                       1                       1 
                  0.095                 -0.0005      0.0131909547738693        1.14670885166562        3447.72030709264       0.226670256078881       -3563.54967528528       -1.36513084169679        296.946600461041        300.000013202008                       0                       0                       0                       0                       0                       0                       0        501.431091469525        75.8634354842386                       0       -19.4469142998222   1.83100000867853E-005    0.000174161815124398                       0       0.282441467124927                       0                       0                       0        10962.4997005998        595.514192817882                       1                       1                       1 
                  0.095                 -0.0005      0.0132964824120603        1.14673539703496        3456.00081755351       0.226567045490661       -3560.38220438346       -1.36198080186863        296.949342524026        300.000009261403                       0                       0                       0                       0                       0                       0                       0        501.336164584168        75.7857902074707                       0       -19.6060649561556   1.83100000867853E-005    0.000174245254523581                       0       0.293090322124488                       0                       0                       0        10962.4996909578        596.018908817456                       1                       1                       1 
                  0.095                 -0.0005      0.0134020100502513        1.14676181839311         3464.3513033354       0.226464389938573       -3557.22968762684       -1.35922338317179        296.952071884604        300.000005009821                       0                       0                       0                       0                       0                       0                       0        501.245610542802        75.7082670133048                       0       -19.7655606747508   1.83100000867853E-005    0.000174329398027859                       0       0.303949306651996                       0                       0                       0        10962.4996909578        596.522393855538                       1                       1                       1 
                  0.095                 -0.0005      0.0135075376884422        1.14678783402547        3473.12173238415       0.226363662937706         -3554.125930043       -1.35755800342889        296.954761028024        300.000000293139                       0                       0                       0                       0                       0                       0                       0        501.176724992917        75.6307897468584                       0       -19.9269060096448   1.83100000867853E-005    0.000174417493094237                       0       0.315338554693961                       0                       0                       0        10962.4996909578        597.019396460417                       1                       1                       1 
                  0.095                 -0.0005      0.0136130653266332        1.14681540422035        3482.09792278266        0.22625662522619        -3550.8340259333       -1.35016449631907        296.957617242161        300.000002597656                       0                       0                       0                       0                       0                       0                       0        501.094909448909        75.5497748391774                       0       -20.0880282878961   1.83100000867853E-005     0.00017450613994662                       0       0.323114502392763                       0                       0                       0        10962.4996909578         597.51777900519                       1                       1                       1 
                  0.095                 -0.0005      0.0137185929648241        1.14684367157126          3490.655997644        0.22614649272018       -3547.45929870252       -1.34195401275016        296.960545811605        300.000006537587                       0                       0                       0                       0                       0                       0                       0        500.988259756085        75.4681046500769                       0       -20.2471963204912   1.83100000867853E-005    0.000174590781833587                       0       0.329308872610007                       0                       0                       0        10962.4996813159        598.022771169783                       1                       1                       1 
                  0.095                 -0.0005      0.0138241206030151        1.14687178074837        3499.30893638449       0.226037062374662       -3544.10336274329       -1.33392888808241        296.963457964762        300.000010106468                       0                       0                       0                       0                       0                       0                       0        500.887244543432        75.3865831340868                       0       -20.4068077408782   1.83100000867853E-005    0.000174676332384597                       0       0.335862077598436                       0                       0                       0        10962.4996813159        598.526263714957                       1                       1                       1 
                  0.095                 -0.0005       0.013929648241206        1.14689970035906        3508.43835408483       0.225928733954066       -3540.77074348906        -1.3274332768142        296.966347618796        300.000010650522                       0                       0                       0                       0                       0                       0                       0        500.806177971572        75.3046191982524                       0       -20.5682916600012   1.83100000867853E-005    0.000174765940666488                       0         0.3447389027996                       0                       0                       0        10962.4996813159        599.023590330261                       1                       1                       1 
