VARIABLES = "X"
 "Y"
 "Z"
 "Density"
 "Shear Strain Rate"
 "Mach Number"
 "Pressure"
 "Total Pressure"
 "Temperature"
 "Total Temperature"
 "Bulk Energy Flow Rate"
 "X Bulk Momentum Flow Rate"
 "Y Bulk Momentum Flow Rate"
 "Z Bulk Momentum Flow Rate"
 "X Wall Shear"
 "Y Wall Shear"
 "Z Wall Shear"
 "Turbulence Eddy Dissipation"
 "U"
 "V"
 "W"
 "Dynamic Viscosity"
 "Eddy Viscosity"
 "X Vorticity"
 "Y Vorticity"
 "Z Vorticity"
 "Y Plus"
 "Solver Y Plus"
 "Node UserID"
 "Element UserID"
 "Material ID"
 "Part ID"
 "Property ID"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                  0.095                 -0.0005     0.00105527638190955         1.1454485935293        2973.06118199085       0.231514109228239       -3713.88750608672       -1.53980211575183        296.816166318901        300.000034193888                       0                       0                       0                       0                       0                       0                       0        505.191756502505         79.957848570899                       0       -1.52372622617301   1.83100000867853E-005    0.000168685674026621                       0       0.220683796675787                       0                       0                       0        10962.4999802648        538.845609426275                       1                       1                       1 
                  0.095                 -0.0005      0.0011608040201005        1.14544973478127        2972.94869879798       0.231509424646783       -3713.74613586801       -1.54722654635572        296.816295403721        300.000034256308                       0                       0                       0                       0                       0                       0                       0        504.947646054389        79.9534597616834                       0       -1.67559566088648   1.83100000867853E-005    0.000168670330303394                       0       0.082122884572341                       0                       0                       0        10962.4999802648        539.330050413744                       1                       1                       1 
                  0.095                 -0.0005     0.00126633165829146        1.14545118780112         2973.3686480627        0.23150374779828       -3713.56961802716       -1.55036631431478        296.816450810549         300.00003432032                       0                       0                       0                       0                       0                       0                       0        504.844616337387        79.9482406780463                       0       -1.82733040247825   1.83100000867853E-005    0.000168667635718285                       0    -0.00539838535375637                       0                       0                       0        10962.4999802648        539.819398959552                       1                       1                       1 
                  0.095                 -0.0005     0.00137185929648241         1.1454529456787        2974.50924070457       0.231497154547855       -3713.35980738146       -1.54922497604048        296.816630683797          300.0000343832                       0                       0                       0                       0                       0                       0                       0        504.926298456835        79.9420524283085                       0       -1.98026209068855   1.83100000867853E-005    0.000168681733110924                       0     -0.0270516846138146                       0                       0                       0        10962.4999802648        540.305265025215                       1                       1                       1 
                  0.095                 -0.0005     0.00147738693467337        1.14545465224244        2975.65521584596       0.231490745336724       -3713.15596110577       -1.54808366858851        296.816805229768        300.000034444747                       0                       0                       0                       0                       0                       0                       0        505.009150227169        79.9359181618183                       0        -2.1337577955499   1.83100000867853E-005    0.000168695958565174                       0      -0.049749675577866                       0                       0                       0        10962.4999706228        540.787014491513                       1                       1                       1 
                  0.095                 -0.0005     0.00158291457286432        1.14545641594757        2976.79519721459       0.231484131185549       -3712.94547310574       -1.54694232687703        296.816985708017        300.000034507779                       0                       0                       0                       0                       0                       0                       0        505.090699513126        79.9297237813767                       0       -2.28662543020259   1.83100000867853E-005    0.000168710041414268                       0     -0.0712843326565366                       0                       0                       0        10962.4999706228         541.27334806613                       1                       1                       1 
                  0.095                 -0.0005     0.00168844221105528        1.14545847925299        2977.61453550372       0.231476226751235       -3712.69862822826       -1.54609261678757         296.81720125341        300.000035711171                       0                       0                       0                       0                       0                       0                       0        505.069552860665        79.9224575589517                       0       -2.43867485832766   1.83100000867853E-005    0.000168717723363954                       0     -0.0820953330424052                       0                       0                       0        10962.4999706228        541.763009497372                       1                       1                       1 
                  0.095                 -0.0005     0.00179396984924623         1.1454606736846        2978.21434428899       0.231467715956462       -3712.43580320199       -1.54464441604301        296.817433129998         300.00003881094                       0                       0                       0                       0                       0                       0                       0        504.975097552585        79.9145052646052                       0       -2.59103405099339   1.83100000867853E-005    0.000168720997599322                       0     -0.0841380569646139                       0                       0                       0        10962.4999706228        542.248627242665                       1                       1                       1 
                  0.095                 -0.0005     0.00189949748743719        1.14546281944487         2978.8241649889        0.23145939808765       -3712.17895829979       -1.54251156961016        296.817659800465         300.00004280702                       0                       0                       0                       0                       0                       0                       0        504.881597538648         79.906608770941                       0       -2.74387796801709   1.83100000867853E-005    0.000168724440071764                       0     -0.0848815872808047                       0                       0                       0        10962.4999609808        542.730834942471                       1                       1                       1 
                  0.095                 -0.0005     0.00200502512562814        1.14546505107906        2979.41632103571       0.231450739827379       -3711.91156228688        -1.5415866862501        296.817895656419        300.000045221681                       0                       0                       0                       0                       0                       0                       0        504.786412038897         79.898613824608                       0       -2.89586665523437   1.83100000867853E-005    0.000168727585712902                       0     -0.0879173656132897                       0                       0                       0        10962.4999609808        543.219059200958                       1                       1                       1 
