                  0.005                 -0.0005      0.0138346733668342        1.16785194278237        65.2198774683025       0.120933840834774       -1030.78761744596      -0.062633891848705        299.124495379214                     300                       0                       0                       0                       0                       0                       0                       0        12054.0916851313        41.9365317120994                       0      -0.153119803764083   1.83100000867853E-005    0.000175463087098578                       0     0.00796438004825297                       0                       0                       0        10962.4998172536        10659.8377420589                       1                       1                       1 
                  0.005                 -0.0005       0.014035175879397        1.16785457748421        65.7774061105229       0.120915639594703       -1030.47307152314     -0.0539073478065921        299.124756613383                     300                       0                       0                       0                       0                       0                       0                       0        12048.1139797936        41.9302321836333                       0      -0.154814151103351   1.83100000867853E-005     0.00017546368229358                       0      0.0464360573864851                       0                       0                       0        10962.4998172536        10660.2390170655                       1                       1                       1 
                  0.005                 -0.0005      0.0142356783919598        1.16785721115592        66.3351263299756       0.120897443528727       -1030.15861202634     -0.0452475447017878        299.125017846264                     300                       0                       0                       0                       0                       0                       0                       0        12042.1197629766        41.9239345079457                       0      -0.156503113214216   1.83100000867853E-005    0.000175464274962954                       0      0.0848938576257438                       0                       0                       0        10962.4998076116        10660.6399050981                       1                       1                       1 
                  0.005                 -0.0005      0.0144361809045226        1.16785984482763         66.892846545854       0.120879247462757       -1029.84415252954     -0.0365877415969834        299.125279079145                     300                       0                       0                       0                       0                       0                       0                       0        12036.1255461609        41.9176368322599                       0      -0.158192075324875   1.83100000867853E-005    0.000175464867632322                       0       0.123351662840345                       0                       0                       0        10962.4998076116        10661.0407931307                       1                       1                       1 
                  0.005                 -0.0005      0.0146366834170854        1.16786251210237        67.5009744923246       0.120860442327097       -1029.52393677125     -0.0346679379326826        299.125551800966        300.000001680683                       0                       0                       0                       0                       0                       0                       0        12030.0085605155        41.9111284462955                       0      -0.159863830162879   1.83100000867853E-005    0.000175465546037553                       0       0.108925569360294                       0                       0                       0        10962.4998076116        10661.4430639663                       1                       1                       1 
                  0.005                 -0.0005      0.0148371859296482        1.16786521122864        68.1712562977021       0.120840948406446       -1029.19755409292     -0.0410939119145875        299.125838273721        300.000005904745                       0                       0                       0                       0                       0                       0                       0        12023.6057847159        41.9043821801059                       0      -0.161471971203787   1.83100000867853E-005    0.000175466302230036                       0      0.0315285776025332                       0                       0                       0        10962.4998076116          10661.84383454                       1                       1                       1 
                  0.005                 -0.0005      0.0150376884422111         1.1678679103549        68.8415381008698       0.120821454485772       -1028.87117141459     -0.0475198862675664        299.126124746477        300.000010128806                       0                       0                       0                       0                       0                       0                       0        12017.2030089097        41.8976359139087                       0      -0.163080112244599   1.83100000867853E-005    0.000175467058422519                       0     -0.0458684106690733                       0                       0                       0        10962.4997979696        10662.2446051137                       1                       1                       1 
                  0.005                 -0.0005      0.0152381909547739        1.16787060948117        69.5118199062473       0.120801960565121       -1028.54478873626     -0.0539458602494714        299.126411219232        300.000014352867                       0                       0                       0                       0                       0                       0                       0        12010.8002331101        41.8908896477191                       0      -0.164688253285507   1.83100000867853E-005    0.000175467814615002                       0      -0.123265402426834                       0                       0                       0        10962.4997979696        10662.6453756875                       1                       1                       1 
                  0.005                 -0.0005      0.0154386934673367        1.16787339280947        70.0628145689176       0.120782095987914       -1028.20864607354     -0.0547713832740869        299.126697694967        300.000011612848                       0                       0                       0                       0                       0                       0                       0        12004.3457360508        41.8840153606792                       0       -0.16623716175652   1.83100000867853E-005    0.000175468579554967                       0      -0.041661183605371                       0                       0                       0        10962.4997979696        10663.0471320435                       1                       1                       1 
                  0.005                 -0.0005      0.0156391959798995        1.16787619025304        70.5894859519019       0.120762172179021       -1027.87077889399     -0.0547625057410644        299.126984167059        300.000007423482                       0                       0                       0                       0                       0                       0                       0        11997.8224300141        41.8771208028354                       0      -0.167756979485735   1.83100000867853E-005    0.000175469334980457                       0      0.0734750422785373                       0                       0                       0        10962.4997883276        10663.4478131366                       1                       1                       1 
                  0.005                 -0.0005      0.0158396984924623        1.16787898769661        71.1161573369656       0.120742248370106       -1027.53291171446     -0.0547536285791157        299.127270639151        300.000003234114                       0                       0                       0                       0                       0                       0                       0        11991.2991239707        41.8702262449836                       0      -0.169276797215191   1.83100000867853E-005    0.000175470090405953                       0       0.188611265778912                       0                       0                       0        10962.4997883276        10663.8484942296                       1                       1                       1 
                  0.005                 -0.0005      0.0160402010050251        1.16788181239272        71.6516492284297       0.120722228888408       -1027.19269998458     -0.0526427125440859        299.127557337054                     300                       0                       0                       0                       0                       0                       0                       0        11984.7814723921        41.8632982304257                       0      -0.170786546489698   1.83100000867853E-005    0.000175470844767668                       0       0.254820508400617                       0                       0                       0        10962.4997883276        10664.2498391593                       1                       1                       1 
                  0.005                 -0.0005      0.0162407035175879        1.16788474116476        72.2238697740623       0.120701882511449       -1026.84400470952      -0.041855779083768        299.127843774889                     300                       0                       0                       0                       0                       0                       0                       0        11978.1304092725        41.8562559452934                       0      -0.172213743473528   1.83100000867853E-005    0.000175471569335914                       0       0.125208538135001                       0                       0                       0        10962.4997883276        10664.6504183785                       1                       1                       1 
                  0.005                 -0.0005      0.0164412060301508         1.1678876699368        72.7960903213652       0.120681536134489       -1026.49530943446     -0.0310688456234502        299.128130212725                     300                       0                       0                       0                       0                       0                       0                       0        11971.4793461527        41.8492136601604                       0      -0.173640940457941   1.83100000867853E-005    0.000175472293904164                       0    -0.00440343397982322                       0                       0                       0        10962.4997786856        10665.0509975977                       1                       1                       1 
                  0.005                 -0.0005      0.0166417085427136        1.16789059870884        73.3683108669978        0.12066118975753        -1026.1466141594     -0.0202819121631323         299.12841665056                     300                       0                       0                       0                       0                       0                       0                       0        11964.8282830331         41.842171375028                       0      -0.175068137441771   1.83100000867853E-005     0.00017547301847241                       0      -0.134015404245439                       0                       0                       0        10962.4997786856        10665.4515768169                       1                       1                       1 
                  0.005                 -0.0005      0.0168422110552764        1.16789354665534         73.907450036364       0.120640052385396       -1025.79210315844      -0.025589355680128        299.128722465583                     300                       0                       0                       0                       0                       0                       0                       0        11957.9568213641        41.8348570504693                       0      -0.176443065180425   1.83100000867853E-005    0.000175473876093865                       0      -0.205783852495965                       0                       0                       0        10962.4997786856        10665.8524072065                       1                       1                       1 
                  0.005                 -0.0005      0.0170427135678392        1.16789650814641        74.4222494415729       0.120618334504917       -1025.43340743028     -0.0427845712682749        299.129042521396                     300                       0                       0                       0                       0                       0                       0                       0        11950.8955738119        41.8273431352211                       0      -0.177772794483597   1.83100000867853E-005     0.00017547482853164                       0      -0.234701492142594                       0                       0                       0        10962.4997786856        10666.2528826112                       1                       1                       1 
                  0.005                 -0.0005       0.017243216080402        1.16789946963749        74.9370488473316       0.120596616624447       -1025.07471170212     -0.0599797868564215        299.129362577209                     300                       0                       0                       0                       0                       0                       0                       0        11943.8343262621        41.8198292199758                       0      -0.179102523786679   1.83100000867853E-005    0.000175475780969414                       0      -0.263619131442791                       0                       0                       0        10962.4997690437        10666.6533580158                       1                       1                       1 
                  0.005                 -0.0005      0.0174437185929648        1.16790243075619        75.4519533708811       0.120574900107791       -1024.71603946278     -0.0771994062088819        299.129682613956                     300                       0                       0                       0                       0                       0                       0                       0        11936.8481215806        41.8123157634936                       0      -0.180432462719243   1.83100000867853E-005    0.000175476760129824                       0      -0.292530891775141                       0                       0                       0        10962.4997690437        10667.0538333564                       1                       1                       1 
                  0.005                 -0.0005      0.0176442211055276        1.16790548463533        75.8327517838629       0.120553248109335       -1024.34848691028     -0.0740087485323773        299.129994622759                     300                       0                       0                       0                       0                       0                       0                       0        11929.9527412528        41.8048233519524                       0      -0.181676523374225   1.83100000867853E-005    0.000175477636263727                       0      -0.143269469009266                       0                       0                       0        10962.4997690437        10667.4541372196                       1                       1                       1 
                  0.005                 -0.0005      0.0178447236180905        1.16790854391486        76.2058822186551       0.120531598803979       -1023.98041009227     -0.0696745082057314        299.130306196461                     300                       0                       0                       0                       0                       0                       0                       0        11923.0625159488        41.7973317945475                       0      -0.182916376618893   1.83100000867853E-005    0.000175478505825265                       0      0.0161640719683871                       0                       0                       0        10962.4997594017        10667.8544968581                       1                       1                       1 
                  0.005                 -0.0005      0.0180452261306533        1.16791160319438        76.5790126546617       0.120509949498625       -1023.61233327425     -0.0653402678790854        299.130617770163                     300                       0                       0                       0                       0                       0                       0                       0        11916.1722906444        41.7898402371429                       0      -0.184156229864051   1.83100000867853E-005      0.0001754793753868                       0        0.17559761235863                       0                       0                       0        10962.4997594017        10668.2548564967                       1                       1                       1 
                  0.005                 -0.0005      0.0182457286432161        1.16791469388838        76.9725161154417       0.120488150809793       -1023.24164102456      -0.060359846949653        299.130929342586                     300                       0                       0                       0                       0                       0                       0                       0        11909.2150252874        41.7822969008562                       0      -0.185359437973168   1.83100000867853E-005    0.000175480257763692                       0       0.260483489743208                       0                       0                       0        10962.4997594017        10668.6547543873                       1                       1                       1 
                  0.005                 -0.0005      0.0184462311557789        1.16791785175272         77.409337046434       0.120466012194786       -1022.86500191816     -0.0538806512965406        299.131240915294                     300                       0                       0                       0                       0                       0                       0                       0        11902.1864503044        41.7746355445289                       0      -0.186497884450887   1.83100000867853E-005    0.000175481178781237                       0       0.186045338914079                       0                       0                       0        10962.4997594017        10669.0550247215                       1                       1                       1 
                  0.005                 -0.0005      0.0186467336683417        1.16792100961706        77.8461579771745       0.120443873579792       -1022.48836281175     -0.0474014556434282        299.131552488002                     300                       0                       0                       0                       0                       0                       0                       0        11895.1578753249        41.7669741882062                       0       -0.18763633092856   1.83100000867853E-005    0.000175482099798775                       0       0.111607187694942                       0                       0                       0        10962.4997497597        10669.4552950556                       1                       1                       1 
                  0.005                 -0.0005      0.0188472361809045         1.1679241674814        78.2829789081668       0.120421734964785       -1022.11172370535     -0.0409222599903158         299.13186406071                     300                       0                       0                       0                       0                       0                       0                       0        11888.1293003419         41.759312831879                       0      -0.188774777406279   1.83100000867853E-005     0.00017548302081632                       0      0.0371690368658134                       0                       0                       0        10962.4997497597        10669.8555653898                       1                       1                       1 
                  0.005                 -0.0005      0.0190477386934673        1.16792733496436         78.739527045844       0.120399039528854       -1021.72980618136     -0.0405518803075541         299.13219002912                     300                       0                       0                       0                       0                       0                       0                       0         11880.891241118        41.7514605664499                       0      -0.189834412350383   1.83100000867853E-005    0.000175484023017209                       0     -0.0328137765692847                       0                       0                       0        10962.4997497597        10670.2549618834                       1                       1                       1 
                  0.005                 -0.0005      0.0192482412060302        1.16793050906459        79.2044786243245       0.120376077730949       -1021.34521796603     -0.0427057190490409        299.132522618713                     300                       0                       0                       0                       0                       0                       0                       0        11873.6227388818        41.7435168421538                       0      -0.190869417034027   1.83100000867853E-005    0.000175485071527952                       0      -0.100810933028803                       0                       0                       0        10962.4997497597        10670.6551309598                       1                       1                       1 
                  0.005                 -0.0005       0.019448743718593        1.16793368316483        79.6694302028253       0.120353115933041        -1020.9606297507     -0.0448595566773063        299.132855208306                     300                       0                       0                       0                       0                       0                       0                       0        11866.3542366448        41.7355731178565                       0      -0.191904421717759   1.83100000867853E-005    0.000175486120038698                       0      -0.168808090144222                       0                       0                       0        10962.4997401177        10671.0553000361                       1                       1                       1 
                  0.005                 -0.0005      0.0196492462311558        1.16793686016068        80.1269506612723       0.120330145604776       -1020.57586729251     -0.0472866790438536        299.133187731635                     300                       0                       0                       0                       0                       0                       0                       0        11859.0245830534        41.7276264293702                       0      -0.192924779625643   1.83100000867853E-005    0.000175487156606683                       0        -0.2264656547387                       0                       0                       0        10962.4997401177        10671.4544793815                       1                       1                       1 
                  0.005                 -0.0005      0.0198497487437186        1.16794011538792        80.4752613868355       0.120306808720418       -1020.18437982279      -0.052605572393726        299.133524427871                     300                       0                       0                       0                       0                       0                       0                       0        11851.6380667069         41.719551922856                       0      -0.193857107706385   1.83100000867853E-005    0.000175488160068127                       0      -0.138596775844439                       0                       0                       0        10962.4997401177        10671.8543555233                       1                       1                       1 
                  0.005                 -0.0005      0.0200502512562814        1.16794337137051        80.8236121515885       0.120283468633467       -1019.79283793003     -0.0579901556423043          299.1338611886                     300                       0                       0                       0                       0                       0                       0                       0        11844.2620438106        41.7114762859773                       0      -0.194790920511959   1.83100000867853E-005    0.000175489165483234                       0     -0.0508455255916234                       0                       0                       0        10962.4997304757        10672.2544214599                       1                       1                       1 
                  0.005                 -0.0005      0.0202507537688442         1.1679466273531        81.1719629141448       0.120260128546508       -1019.40129603727     -0.0633747387053458        299.134197949329                     300                       0                       0                       0                       0                       0                       0                       0        11836.8860209121        41.7034006490958                       0      -0.195724733317342   1.83100000867853E-005    0.000175490170898345                       0      0.0369057267294588                       0                       0                       0        10962.4997304757        10672.6544873965                       1                       1                       1 
                  0.005                 -0.0005       0.020451256281407        1.16794990170712        81.4661327586908       0.120236786670013        -1019.0074579226     -0.0663278623197167        299.134535741325                     300                       0                       0                       0                       0                       0                       0                       0        11829.4189071949        41.6953251815485                       0      -0.196592131394767   1.83100000867853E-005    0.000175491135019313                       0        0.10630378333034                       0                       0                       0        10962.4997304757        10673.0529618692                       1                       1                       1 
                  0.005                 -0.0005      0.0206517587939699        1.16795320678285        81.6906794203716       0.120213378594179       -1018.60963566179     -0.0673694780037234        299.134876656839                     300                       0                       0                       0                       0                       0                       0                       0        11822.0288657076        41.6872275804264                       0      -0.197399636571685   1.83100000867853E-005    0.000175492081094819                       0        0.15115995351716                       0                       0                       0        10962.4997304757        10673.4529117907                       1                       1                       1 
                  0.005                 -0.0005      0.0208522613065327        1.16795651185857        81.9152260834407       0.120189970518325       -1018.21181340097     -0.0684110946154147        299.135217572355                     300                       0                       0                       0                       0                       0                       0                       0        11814.6388242152        41.6791299792977                       0      -0.198207141748611   1.83100000867853E-005     0.00017549302717033                       0       0.196016121588969                       0                       0                       0        10962.4997208337        10673.8528617122                       1                       1                       1 
                  0.005                 -0.0005      0.0210527638190955         1.1679598169343        82.1397727451215       0.120166562442491       -1017.81399114015     -0.0694527102994213         299.13555848787                     300                       0                       0                       0                       0                       0                       0                       0        11807.2487827279        41.6710323781756                       0      -0.199014646925529   1.83100000867853E-005    0.000175493973245836                       0       0.240872291775789                       0                       0                       0        10962.4997208337        10674.2528116337                       1                       1                       1 
                  0.005                 -0.0005      0.0212532663316583        1.16796315927033        82.4458152949383       0.120142812968214       -1017.41238524804     -0.0642182464727838        299.135895321489                     300                       0                       0                       0                       0                       0                       0                       0        11799.6652410335        41.6628169069747                       0      -0.199710340726358   1.83100000867853E-005    0.000175494998520789                       0       0.129789371478053                       0                       0                       0        10962.4997208337        10674.6507851012                       1                       1                       1 
                  0.005                 -0.0005      0.0214537688442211        1.16796651351589        82.7703122961082        0.12011893942703       -1017.00918268348     -0.0577126351022343         299.13623199659                     300                       0                       0                       0                       0                       0                       0                       0        11792.1671333258         41.654558510035                       0      -0.200394669873603   1.83100000867853E-005    0.000175496064165161                       0     -0.0169102872086297                       0                       0                       0        10962.4997208337        10675.0506483915                       1                       1                       1 
                  0.005                 -0.0005      0.0216542713567839        1.16796986776145        83.0948092943279       0.120095065885836       -1016.60598011891     -0.0512070237316849         299.13656867169                     300                       0                       0                       0                       0                       0                       0                       0        11784.6690256142        41.6463001130919                       0      -0.201078999020672   1.83100000867853E-005    0.000175497129809537                       0      -0.163609942842831                       0                       0                       0        10962.4997111918        10675.4505116818                       1                       1                       1 
                  0.005                 -0.0005      0.0218547738693467        1.16797321893638        83.4056674290937       0.120071091573772       -1016.20269936307     -0.0476525023865888        299.136908415055                     300                       0                       0                       0                       0                       0                       0                       0        11776.9996670443        41.6380070782315                       0      -0.201732923127133   1.83100000867853E-005    0.000175498187753222                       0       -0.28655956719837                       0                       0                       0        10962.4997111918        10675.8480958786                       1                       1                       1 
                  0.005                 -0.0005      0.0220552763819095        1.16797660556697        83.6511988803459       0.120046452859438       -1015.79525064327     -0.0519688297780456        299.137261915989                     300                       0                       0                       0                       0                       0                       0                       0        11769.2691739808        41.6294848851183                       0      -0.202316180506426   1.83100000867853E-005    0.000175499318601762                       0      -0.298308348085969                       0                       0                       0        10962.4997111918        10676.2478440496                       1                       1                       1 
                  0.005                 -0.0005      0.0222557788944724        1.16797999226381        83.8967277988704       0.120021813938668       -1015.38779804047     -0.0562764962284788        299.137615416937                     300                       0                       0                       0                       0                       0                       0                       0        11761.5394038472        41.6209626203252                       0      -0.202899496039559   1.83100000867853E-005    0.000175500449556623                       0        -0.3100569132221                       0                       0                       0        10962.4997015498        10676.6476047018                       1                       1                       1 
                  0.005                 -0.0005      0.0224562814070352        1.16798337896064        84.1422567149716       0.119997175017891       -1014.98034543767     -0.0605841626789119        299.137968917885                     300                       0                       0                       0                       0                       0                       0                       0        11753.8096337112        41.6124403555301                       0      -0.203482811571962   1.83100000867853E-005    0.000175501580511487                       0      -0.321805478357687                       0                       0                       0        10962.4997015498         10677.047365354                       1                       1                       1 
                  0.005                 -0.0005       0.022656783919598        1.16798678051539        84.3019810870624       0.119972704765307       -1014.57171552992     -0.0632012815115915        299.138319623997                     300                       0                       0                       0                       0                       0                       0                       0         11745.976672665         41.603976449854                       0       -0.20398417178542   1.83100000867853E-005    0.000175502655540219                       0      -0.247308038154453                       0                       0                       0        10962.4997015498        10677.4444253507                       1                       1                       1 
                  0.005                 -0.0005      0.0228572864321608        1.16799021604669        84.3929699008342       0.119948285313451       -1014.16067546248     -0.0632276923431031        299.138668901811                     300                       0                       0                       0                       0                       0                       0                       0         11738.334285954        41.5955299845299                       0       -0.20443989377852   1.83100000867853E-005     0.00017550373121619                       0      -0.104855866711687                       0                       0                       0        10962.4997015498        10677.8440715455                       1                       1                       1 
                  0.005                 -0.0005      0.0230577889447236        1.16799365157798        84.4839587144739       0.119923865861586       -1013.74963539504     -0.0632541042878362        299.139018179626                     300                       0                       0                       0                       0                       0                       0                       0        11730.6918992404        41.5870835192027                       0      -0.204895615771153   1.83100000867853E-005    0.000175504806892164                       0      0.0375963042392377                       0                       0                       0        10962.4996919078        10678.2437177403                       1                       1                       1 
                  0.005                 -0.0005      0.0232582914572864        1.16799708292105        84.5747367665336       0.119899466325357       -1013.33891746763     -0.0630977276663256        299.139367099851                     300                       0                       0                       0                       0                       0                       0                       0        11722.9895019082        41.5786439838875                       0      -0.205347383274302   1.83100000867853E-005     0.00017550587141403                       0        0.18056591499912                       0                       0                       0        10962.4996919078        10678.6423136261                       1                       1                       1 
                  0.005                 -0.0005      0.0234587939698492        1.16800051030136        84.6347745382369       0.119875067158489       -1012.92619583838     -0.0590399786072263        299.139715681605                     300                       0                       0                       0                       0                       0                       0                       0         11715.242497819        41.5702050906398                       0      -0.205696429407473   1.83100000867853E-005    0.000175506899621455                       0       0.239374193999622                       0                       0                       0        10962.4996919078        10679.0399298341                       1                       1                       1 
                  0.005                 -0.0005      0.0236592964824121        1.16800394542035        84.6921584392777       0.119850630161552       -1012.51268124161     -0.0547499058343046        299.140064924075                     300                       0                       0                       0                       0                       0                       0                       0        11707.6070577916        41.5617530023428                       0      -0.206043431807631   1.83100000867853E-005    0.000175507944347825                       0       0.291411802660373                       0                       0                       0        10962.4996822658        10679.4394878137                       1                       1                       1 
                  0.005                 -0.0005      0.0238597989949749        1.16800738053933        84.7495423442305       0.119826193164617       -1012.09916664485     -0.0504598341746043        299.140414166545                     300                       0                       0                       0                       0                       0                       0                       0        11699.9716177649        41.5533009140461                       0      -0.206390434208232   1.83100000867853E-005    0.000175508989074195                       0        0.34344940825741                       0                       0                       0        10962.4996822658        10679.8390457932                       1                       1                       1 
                  0.005                 -0.0005      0.0240603015075377        1.16801081921717        84.8330941402728       0.119801807747164       -1011.68621942575     -0.0478176762844233        299.140764096113                     300                       0                       0                       0                       0                       0                       0                       0         11692.145379583        41.5448671502578                       0      -0.206688055723981   1.83100000867853E-005    0.000175509995859329                       0       0.332277384529573                       0                       0                       0        10962.4996822658        10680.2352116605                       1                       1                       1 
                  0.005                 -0.0005      0.0242608040201005        1.16801430330648        84.9722692449187       0.119777329477028       -1011.27102807484     -0.0499803052621992        299.141117528955                     300                       0                       0                       0                       0                       0                       0                       0        11684.5111703266        41.5364020374343                       0      -0.206894784477685   1.83100000867853E-005    0.000175511019578078                       0       0.177470748223438                       0                       0                       0        10962.4996822658        10680.6346695464                       1                       1                       1 
                  0.005                 -0.0005      0.0244613065326633        1.16801778739579        85.1114443498929       0.119752851206908       -1010.85583672392      -0.052142934239975        299.141470961797                     300                       0                       0                       0                       0                       0                       0                       0        11676.8769610752        41.5279369246164                       0      -0.207101513231895   1.83100000867853E-005    0.000175512043296821                       0      0.0226641116472431                       0                       0                       0        10962.4996726238        10681.0341274322                       1                       1                       1 
                  0.005                 -0.0005      0.0246618090452261        1.16802127148511        85.2506194545388       0.119728372936771         -1010.440645373     -0.0543055632177509         299.14182439464                     300                       0                       0                       0                       0                       0                       0                       0        11669.2427518189        41.5194718117929                       0      -0.207308241985599   1.83100000867853E-005     0.00017551306701557                       0       -0.13214252465889                       0                       0                       0        10962.4996726238        10681.4335853181                       1                       1                       1 
                  0.005                 -0.0005      0.0248623115577889        1.16802470625434        85.3627686736321       0.119703436066618       -1010.02628544641     -0.0512915611105841         299.14217718063        300.000000644139                       0                       0                       0                       0                       0                       0                       0         11661.235984828        41.5108477103799                       0      -0.207442325092311   1.83100000867853E-005    0.000175514214002683                       0      -0.221001469411043                       0                       0                       0        10962.4996726238        10681.8292518207                       1                       1                       1 
                  0.005                 -0.0005      0.0250628140703518        1.16802812447061        85.4589093394643       0.119678178095332        -1009.6105967441     -0.0469707200942991        299.142530595357        300.000000661293                       0                       0                       0                       0                       0                       0                       0        11653.3692480947        41.5021124353939                       0      -0.207546764338822   1.83100000867853E-005    0.000175515475423881                       0      -0.277372903307744                       0                       0                       0        10962.4996726238        10682.2286077317                       1                       1                       1 
                  0.005                 -0.0005      0.0252633165829146        1.16803154268688        85.5550500066899       0.119652920124047       -1009.19490804179     -0.0426498790780141        299.142884010083        300.000000678448                       0                       0                       0                       0                       0                       0                       0        11645.5025113615        41.4933771604077                       0      -0.207651203585188   1.83100000867853E-005     0.00017551673684508                       0      -0.333744338881796                       0                       0                       0        10962.4996629818        10682.6279636427                       1                       1                       1 
                  0.005                 -0.0005      0.0254638190954774        1.16803496203816        85.6430904851417       0.119627724351834       -1008.77994956031     -0.0381439810120347        299.143236631277        300.000001293273                       0                       0                       0                       0                       0                       0                       0        11637.5054983202        41.4846634391638                       0      -0.207749348621422   1.83100000867853E-005    0.000175517964443646                       0       -0.38089156523218                       0                       0                       0        10962.4996629819        10683.0249900471                       1                       1                       1 
                  0.005                 -0.0005      0.0256643216080402        1.16803841071336        85.5487160668133       0.119603001215383       -1008.36516063164     -0.0405866868306993        299.143589413441        300.000000712174                       0                       0                       0                       0                       0                       0                       0        11629.6868876797        41.4761139829091                       0      -0.207735248912633   1.83100000867853E-005    0.000175518991131691                       0      -0.258956759858755                       0                       0                       0        10962.4996629819        10683.4224755338                       1                       1                       1 
                  0.005                 -0.0005       0.025864824120603        1.16804186172732        85.4540972511837       0.119578243179013        -1007.9498392237     -0.0427229702632377        299.143942793843        300.000000729312                       0                       0                       0                       0                       0                       0                       0        11621.9685125834        41.4675523433461                       0      -0.207719943038111   1.83100000867853E-005     0.00017552003475881                       0       -0.13778966373279                       0                       0                       0        10962.4996533399        10683.8217167271                       1                       1                       1 
                  0.005                 -0.0005      0.0260653266331658        1.16804531274128        85.3594784332144       0.119553485142643       -1007.53451781577     -0.0448592536957761        299.144296174245        300.000000746451                       0                       0                       0                       0                       0                       0                       0        11614.2501374874        41.4589907037829                       0      -0.207704637163306   1.83100000867853E-005    0.000175521078385931                       0     -0.0166225664340849                       0                       0                       0        10962.4996533399        10684.2209579203                       1                       1                       1 
                  0.005                 -0.0005      0.0262658291457286        1.16804875183029        85.2391947077627       0.119528845892069       -1007.12119867603     -0.0479727748514733        299.144648791437                     300                       0                       0                       0                       0                       0                       0                       0        11606.2899567437        41.4504709791762                       0      -0.207641450655487   1.83100000867853E-005    0.000175522106699417                       0      0.0742388301372172                       0                       0                       0        10962.4996533399        10684.6157227263                       1                       1                       1 
                  0.005                 -0.0005      0.0264663316582915        1.16805220258534         85.078261507186       0.119504174901012       -1006.70747967198     -0.0501309979758015        299.145002155605                     300                       0                       0                       0                       0                       0                       0                       0        11598.6019173176        41.4419415124015                       0      -0.207497974590493   1.83100000867853E-005    0.000175523211733493                       0        0.12224931127926                       0                       0                       0        10962.4996533399         10685.014878306                       1                       1                       1 
                  0.005                 -0.0005      0.0266668341708543         1.1680556533404        84.9173283054414       0.119479503909945       -1006.29376066792     -0.0522892211001298        299.145355519774                     300                       0                       0                       0                       0                       0                       0                       0        11590.9138778896        41.4334120456235                       0      -0.207354498525354   1.83100000867853E-005    0.000175524316767573                       0       0.170259792828978                       0                       0                       0        10962.4996436979        10685.4140338858                       1                       1                       1 
                  0.005                 -0.0005      0.0268673366834171        1.16805909968772        84.7572964662484       0.119454851917685       -1005.88036883558     -0.0547363098279001        299.145708883942                     300                       0                       0                       0                       0                       0                       0                       0        11583.1622653428        41.4248890616388                       0      -0.207213160520199   1.83100000867853E-005    0.000175525412037552                       0       0.217959877292989                       0                       0                       0        10962.4996436979        10685.8120846586                       1                       1                       1 
                  0.005                 -0.0005      0.0270678391959799        1.16806249306846        84.5839603182402       0.119430497363536       -1005.46972218769     -0.0551128684592044        299.146060585799                     300                       0                       0                       0                       0                       0                       0                       0        11575.3372428893         41.416468153067                       0      -0.207002708427364   1.83100000867853E-005    0.000175526448798208                       0        0.23910314869464                       0                       0                       0        10962.4996436979        10686.2074670155                       1                       1                       1 
                  0.005                 -0.0005      0.0272683417085427        1.16806587788442        84.4031160143422       0.119406145519935       -1005.05856538536     -0.0551216300675231        299.146413914837                     300                       0                       0                       0                       0                       0                       0                       0        11567.7421551427        41.4080481507312                       0      -0.206761591389866   1.83100000867853E-005    0.000175527510784898                       0        0.25294715771256                       0                       0                       0        10962.4996436979        10686.6065211134                       1                       1                       1 
                  0.005                 -0.0005      0.0274688442211055        1.16806926270038         84.222271708333       0.119381793676337       -1004.64740858302     -0.0551303916758418        299.146767243876                     300                       0                       0                       0                       0                       0                       0                       0        11560.1470673967        41.3996281483968                       0      -0.206520474351742   1.83100000867853E-005    0.000175528572771587                       0       0.266791167248499                       0                       0                       0        10962.4996340559        10687.0055752114                       1                       1                       1 
                  0.005                 -0.0005      0.0276693467336683        1.16807265293186        84.0566666099784        0.11935751657529       -1004.23783472017      -0.054333193870903        299.147117426781                     300                       0                       0                       0                       0                       0                       0                       0        11552.3496162246        41.3912339998827                       0      -0.206272740695503   1.83100000867853E-005    0.000175529604735678                       0       0.256908155091922                       0                       0                       0        10962.4996340559        10687.4010298576                       1                       1                       1 
                  0.005                 -0.0005      0.0278698492462312        1.16807609485701        83.9456039778529       0.119333282415519       -1003.83086761123     -0.0505912914490865        299.147462309994                     300                       0                       0                       0                       0                       0                       0                       0        11544.6722457106        41.3828550054821                       0      -0.205919939443059   1.83100000867853E-005    0.000175530676686351                       0       0.125031290846302                       0                       0                       0        10962.4996340559        10687.7984141228                       1                       1                       1 
                  0.005                 -0.0005       0.028070351758794        1.16807954514464        83.8318485619066       0.119309025561442       -1003.42351354951     -0.0463011229809839        299.147807192336                     300                       0                       0                       0                       0                       0                       0                       0        11537.0843588187        41.3744681340088                       0      -0.205560117288277   1.83100000867853E-005    0.000175531763793062                       0     -0.0061203028141638                       0                       0                       0        10962.4996244139        10688.1973689464                       1                       1                       1 
                  0.005                 -0.0005      0.0282708542713568        1.16808299543226        83.7180931445787       0.119284768707369       -1003.01615948778     -0.0420109545128813        299.148152074677                     300                       0                       0                       0                       0                       0                       0                       0        11529.4964719289         41.366081262537                       0      -0.205200295133156   1.83100000867853E-005    0.000175532850899769                       0      -0.137271896647574                       0                       0                       0        10962.4996244139          10688.59632377                       1                       1                       1 
